mntiadd,mntiadmin,mntiadminnum,mntidetails,mntihigh,mntilistno,mntiname,mntinfdt,mntisname,mntisummary,mntitop
전라남도 순천시 주암면 오산리,순천시청,061-749-3114,( - ),256.4,461500201,계관산,20201201, , , 
전라남도 보성군 복내면 계산리,보성군청,061-852-2181,( - ),581.6,467800101,계당산,20201201, , , 
경기도 평택시 현덕면 권관리,평택시청,031-8024-5000,( - ),44.1,412200101,계두봉,20201201, , , 
전라북도 남원시 사매면 관풍리,남원시청,063-625-6131,( - ),391.3,451900201,계룡산,20201201, , , 
경상남도 거제시 고현동 ,거제시청,055-639-3000,"제주도에 이어 두 번째로 큰 섬인 거제도는 총면적 399.3㎢에 부속 섬 60여 개를 안고 있는 큰 섬이다. 거제도에는 계룡산을 비롯하여 옥녀봉, 산방산, 노자산, 앵산 등 500m급의 크고 작은 산들이 솟아 있다. 
주능선에 용이 승천하는 듯한 형상의 바위가 솟아 있어 계룡산이라 이름 붙여진 이 산은 봄에는 진달래, 가을이면 억새로 비경을 자아내고 있다. 
이곳 향토사학자들은 '계룡 산하 구백만(鷄龍 山下 九百萬)'이라고 표현한 〈정감록〉의 계룡산은 거제도에 있는 계룡산을 말한다고 주장하고 있다. 6·25 때 충남 계룡산에 피난 갔던 수많은 사람은 피해를 당하였지만, 이곳 거제 계룡산은 많은 주민과 피란민, 포로들까지 피해를 보지 않은 곳이었기 때문이라 한다.",569.8,483100401,계룡산,20201201, , , 
전라북도 순창군 쌍치면 금성리,순창군청,063-650-1114,( - ),402.5,457700401,계룡산,20201201, , , 
충청남도 공주시 계룡면 양화리,공주시청,1899-0088,"계룡산은 백두대간에서 갈라져 나온 금남정맥의 한 줄기를 이루는 산으로, 충남 공주시와 논산시의 경계를 이루고 있다. 산세가 마치 닭의 볏을 쓴 용의 형상을 했다고 해서 계룡산으로 불리게 되었다고 한다. 계룡산은 조선조 초기에 쓰인 예언서인 〈정감록〉의 `왕도 입지 설'로 유명한 산으로, 정상인 천황봉(天皇峰)을 중심으로 쌀개봉(828m), 관음봉(816m), 문필봉(756m), 삼불봉(775m), 연천봉(739m)이 주능선에 줄지어 솟아 있다. 계룡산 자락 곳곳에 문화 유적이 산재해 있는데, 동북쪽에는 동학사가, 서북쪽에는 갑사가, 서남쪽에는 신원사 사찰이 자리 잡고 있다. 특히 갑사에는 보물 제257호인 부도(浮屠)와 보물 제256호 인철 당간 및 지주·보물 제478호인 동종(銅鐘) 등의 문화재가 있으며, 〈월인석보〉를 찍어낸 목판도 소장되어 있다. 〈월인석보〉는 세종 29년(1447년)에 간행된 〈석보상절〉과 세종 31년에 간행된 〈월인천강지곡〉을 합편하여, 세조가 1459년에 간행한 것이다. 상봉을 중심으로 동쪽에 동학사, 서쪽에 갑사, 남쪽에 신원사가 자리하여 현재까지도 보존되고 북쪽의 구룡사는 절터만 남아 있다. 계룡사에는 노루, 담비, 청설모, 황매화 등 희귀 동·식물 1,227종이 서식하고 있으며, 계룡 8경으로 꼽히는 천황봉(일출), 삼불봉(설화), 연천봉(낙조), 관음봉(한운), 동학계곡(신록), 은선폭포(운무), 갑사 계곡(단풍), 남매탑(명월) 등은 울창한 숲과 기암절벽을 더불어 장관을 이루고 있다.",846.5,441500301,계룡산_천황봉,20201201, , ,"예로부터 신라 5악의 하나인 서악(西岳)으로 지칭되었고, 조선시대에는 3악 중 중악(中岳)으로 불리운 산으로서 국립공원으로 지정(1968년)된 점 등을 고려하여 선정산 능선이 마치 닭의 벼슬을 쓴 용의 모습과 닮았다고 하여 계룡산이라는 이름이 유래되었으며, ""정감록(鄭鑑錄)""에 언급된 십승지지(十勝之地)중 하나임. 신라 성덕왕 2년(724년) 회의화상이 창건한 동학사(東鶴寺)와 백제 구이신왕(420년)때 고구려의 아도화상에 의하여 창건된 갑사(甲寺)등이 유명"
충청북도 충주시 안림동 ,충주시청,043-850-5114,"계명산은 충주 시내 동복 쪽에 위치하여 마지막 재를 사이에 두고 동남쪽의 남산(636mㆍ금봉산)과 더불어 충주시를 두 팔로 감싸 안듯 병풍을 두르고 있다. 또한, 충주댐을 끼고 있어 산 위에 올라서면 충주호가 굽어 보이고 월악산의 선경이 호반 위로 펼쳐진다. 충주 시내가 가까워서 시민들이 많이 찾는 도심의 산이다.

산 이름과 관련해 다음과 같은 유래가 전한다. 충주가 삼국시대 백제 영토로 있을 때였다. 왕족을 자칭하는 성주가 마고 성의 성주도 겸하며 충주 읍성(예성) 내관과의 왕래가 잦았다. 그러던 어느 날 마고성주의 딸이 심항산 밑을 지나다가 지네에게 물려 갖은 약을 다 써봤으나 상처가 악화하여 죽고 말았다. 그날부터 성주는 관민들에게 지네를 모두 잡아 치우라고 명령을 내렸지만, 그 피해가 날로 심해졌다. 성주는 하는 수 없이 심항산 마루에 제단을 설치하고 매일 정신 기도를 올렸다. 그러던 어느 날 꿈에 용두 백발을 한 신선이 나타나 “지네는 닭과 상극이니 많은 닭을 산에 방목하라! 그러면 근절시킬 수 있을 것이다.”하고 일렀다.

성주는 많은 닭을 방목했고 지네가 근절됐다. 그러나 또다시 지네가 번성할까 두려워 계속 닭을 놓아 기르니 산 곳곳에 닭이 밟지 않은 데가 없었다. 그래서 원래 오동산, 심항산 등으로 불리던 이름이 계족산이라 부르게 됐는데 풍수설에 충주에 큰 부자가 안 나는 것은 계족산이 닭발의 형상이고 분산을 뜻한다고 해 1958년 충주시에서 산 이름을 여명을 알리는 뜻의 계명산으로 개칭했다.",774.3,431300101,계명산,20201201, , , 
전라북도 고창군 심원면 ,고창군청,063-564-2121,( - ),0.0,457900101,계명산,20201201, , , 
경상북도 안동시 길안면 고란리,안동시청,054-856-5701,"계명산은 남으로 화부산과 금학산, 북으로는 약산과 와룡산이 있으며 길안면 고란리와 배방리를 경계로 남북으로 길게 자리 잡고 있는 산이다. 전형적으로 밋밋한 산에다 높이도 크게 높지 않고 별다른 특징이 없어 등산을 목적으로 찾기에 미흡하여 등산객들이 거의 없지만, 산 중앙에 휴양림이 있어 여름과 주말이면 많은 사람이 찾는다. 산 능선이나 골짜기까지 임도가 있어 누구나 편하게 걸어 다닐 수 있고, 휴양림에서 각종 놀이를 즐길 수 있으며 산보를 할 수 있는 가족단위 산행으로 적당한 곳이다.",530.6,471700401,계명산,20201201, , , 
강원특별자치도 홍천군 내면 창촌리,홍천군청,033-432-7801,남한에서 한라산(1947.3m) 지리산(1915.4m) 설악산(1708.1m) 덕유산(1614.2m)에 이어 다섯 번째로 높은 계방산은 겨울철 적설등반 산행지로 유명한 산이다.,1579.1,427206801,계방산,20201201, ,"남한에서 한라산(1947.3m) 지리산(1915.4m) 설악산(1708.1m) 덕유산(1614.2m)에 이어 다섯 번째로 높은 계방산은 겨울철 적설등반 산행지로 유명한 산이다.
강원도 홍천군 내면과 평창군 진부면에 걸쳐 있는 광대한 산맥을 거느리고 있으나, 북동쪽으로 연결되어 있는 오대산의 명성에 가려 빛을 보지 못했던 명산이다. 높은 산이면서도 유순한 산세와 능선을 가지고 있으며 가을이면 온 산을 단풍으로 물들이고 겨울철에서 무릎이상 빠질정도의 적설량으로 등산인들의 사랑을 듬뿍 받고 있는 산이다. 산기슭에 있는 방아다리 약수는 위장병, 피부병에 효험이 있는데 메밀꽃 필 무렵 마시면 특효가 있다고 한다.","남한에서 한라산, 지리산, 설악산, 덕유산에 이어 다섯 번째로 높은 산으로서 산약초·야생화 등이 많이 서식하고, 희귀수목인 주목·철쭉나무 등이 군락을 이루고 있어 생태계 보호지역으로 지정된 점 등을 고려하여 선정백두대간을 한 눈에 조망할 수 있으며 겨울철 설경이 백미. 우리나라에서 자동차로 오를 수 있는 고개 중 가장 높은 운두령이 있으며 내린천(內麟川)으로 흐르는 계방천의 발원지임 "
광주광역시 동구 내남동 ,동구청,062-608-2114,( - ),255.7,291100201,계봉,20201201, , , 
강원특별자치도 정선군 정선읍 북실리,정선군청,033-562-3911,( - ),1028.0,427709401,계봉,20201201, , , 
충청남도 청양군 목면 본의리,청양군청,041-940-2114,( - ),210.8,447900101,계봉산,20201201, , , 
전라남도 장성군 삼서면 금산리,장성군청,061-393-1989,( - ),0.0,468800201,계봉산,20201201, , , 
충청남도 홍성군 갈산면 운곡리,홍성군청,041-630-1114,( - ),202.2,448000301,계봉산,20201201, , , 
경상남도 창원시 진해구 소사동 소사동,창원시청,1899-1111,( - ),149.4,481900101,계산,20201201, , , 
인천광역시 계양구 목상동 ,계양구청,032-551-5701,"인천에서 가장 높은 산(398M)으로 중구봉과의 접점에서 남동쪽의 분지 내부로 갈수록 해발고도와 경사가 완만해지며 평야가 발달했다. 계양산에서 발원하는 하천 중 귤현천, 계양천, 계산천은 주로 동쪽으로 흘러 직조를 거쳐 굴포천과 합류하고 한강으로 흘러든다. 계양산은 징맹이 고개를 거쳐 중구봉으로 이어지고, 다시 천마산과 원적산이 북에서 남으로 이어진다. 부평 분지의 정북에 있는 계양산은 부평의 진산이며 남서쪽은 징멩이 고개에서 중구봉과 만나 천마산에 연결된다. 계양산 일대는 정상부에서 급한 경사를 이루며 크고 작은 암석이 전반적으로 분포하고 있다. (참고 : 인천의 산과 하천, 2005, 인천광역시 역사자료관).",395.4,282600201,계양산,20201201, , , 
전라남도 영광군 홍농읍 성산리,영광군청,061-350-5114,( - ),132.1,468700101,계양산,20201201, , , 
강원특별자치도 철원군 김화읍 감봉리,철원군청,033-450-5114,( - ),0.0,427800201,계웅산,20201201, , , 
충청남도 금산군 군북면 외부리,금산군청,041-750-2114,( - ),353.5,447100301,계원봉,20201201, , , 
대전광역시 대덕구 장동 ,대덕구청,042-608-6114,"계족산은 말 그대로 닭의 발처럼 산줄기가 사방으로 뻗어있다. 대전시 동북쪽에 울타리를 이룬 시민의 산인지라 온 산이 공원화되어 있다. 등산로만 해도 입구가 20여 군데에 달할 정도다. 산 남서쪽에는 경부고속도로가 시내와 경계를 지으며 산줄기와 나란히 달리고, 그 맞은편인 동쪽 산자락에는 푸른 대청호가 넘실거린다.
 산자락에는 각종 유적과 문화재 등이 즐비하다. 들머리인 용화사에는 석불 입상, 날머리인 비래사에는 동춘당이 지은 정자인 옥류각, 그 아랫마을인 송촌동에는 동춘당이 있다. 우암 송시열 선생이 학문을 닦고 제자를 가르쳤던 곳에는 우암사적공원이 들어섰다. 과거와 현재, 미래가 공존하는 도시인 대전답게 계족산 역시 그 모습을 고스란히 반영하고 있다.
 계족산에는 계족산성이 북에서 남으로 길게 산정을 형성하고 있다. 삼국시대 백제 부흥군이 활동했던 옹산성으로 추정되는 이 성은 둘레만 해도 1,037m로 이 고장 최대의 산성이다. 성벽은 안쪽의 흙을 깎아내고 바깥쪽에만 돌을 쌓는 수법으로 만들어졌다.",423.9,302300101,계족산,20201201, , , 
전라남도 구례군 문척면 금정리,구례군청,061-782-2014,앞으로는 섬진강이 한눈에 들어오는 경관을 보면서 산으로 올라가는 기분은 뭐라 할 수 없을 정도로 좋은 자연경관을 자랑한다. 능선마다 한눈에 들어오는 조망점은 산행에 시원한 기분을 선사한다.,702.8,467300301,계족산,20201201, , , 
전라남도 광양시 봉강면 신룡리,광양시청,061-797-2114,( - ),729.4,461504201,계족산,20201201, , , 
강원특별자치도 영월군 영월읍 연하리,영월군청,1577-0545,영월읍에서 동쪽으로 병풍을 친 듯 수석처럼 우뚝 솟은 산으로 산자락에는 고구려의 산성인 정양산성과 정종대왕태실비 유적이 있다. 왕검성으로 오르는 길에는 남한강 상류가 시원스럽게 내려다보인다.,889.6,427500201,계족산,20201201, , , 
전라북도 부안군 계화면 계화리,부안군청,063-580-4191,( - ),244.9,458000201,계화산,20201201, , , 
강원특별자치도 정선군 신동읍 고성리,정선군청,033-562-3911,"고고산은 강원도 영월군 영월읍 문산리와 중동면 연하리, 정선군 신동읍 고성리와 경계를 이루며 동강변에 솟아 있는 산이다.
 설악산 용아름의 축소판인 바위는 이 산의 백미로 구들장 같은 바위들이 층층이 쌓여 있고 바위 위에는 분재와 같은 노송들이 뿌리를 내려 거대한 한 폭의 동양화를 연상하게 한다. 북릉을 타고 전망바위 정상에서 북으로 보면 신병산과 능암덕산이 마주 보이고 오른쪽으로는 백운산과 곰봉 사이를 가로 지르는 동강이 조망된다.",852.9,427700701,고고산,20201201, , , 
제주도 서귀포시 서호동 ,서귀포시청,064-760-3193,"서귀포시 신시가지 북쪽 200m 지점에 있는 기생화산이다. 정산에 깊지 않은 원형 분화구를 갖는 오름이며, 높지 않은 곳에 자리 잡고 있지만, 확 트인 곳에 있어서, 산봉우리에 서면 서귀포 경관과 더불어 지귀도에서 멀리는 마라도까지 제주 바다의 파노라마가 한눈에 들여다볼 수 있는 곳이다.",393.7,491300101,고근산,20201201, , , 
경기도 수원시 권선구 오목천동 ,수원시 권선구청,1899-3300,( - ),98.9,411170101,고금산,20201201, , , 
경기도 포천시 관인면 삼율리,포천시청,031-538-2114,( - ),643.1,416500601,고남산,20201201, , , 
전라북도 남원시 산동면 부절리,남원시청,063-625-6131,"남원시 산동면 중절리·운봉읍 권포리 사이에 있으며. 남원에서 동북쪽으로 바라다보면 북쪽 끝으로 우뚝 솟아있다. 정상 부근에 거대한 중계탑이 서 있는 암벽으로 이루어진 봉우리가 고남산이다. 지역 주민들은 태조봉이라고도 부른다. “남원지”에 보면 고려말 우왕 6년(1380)에 이성계 장군이 고남산 제단에 올라 3일간 제를 올린 후 왜구 아지발도를 크게 무찔렀다 하여 태조봉 이라고 한다. 여원재에서 2시간쯤 지나면 고남산이다. 그리 높지 않은 산이지만 조망만큼은 높은 산에 뒤지지 않는다. 반야봉을 비롯하여 노고단에서 바래봉으로 이어지는 지리산의 능선과 남원시가까지 눈에 들어온다. 이런 입지적 특성은 정상 바로 아래에 자리 잡은 한국통신의 중계탑이 대변한다. 
 괴기스러울 정도의 살풍경이다.",846.8,451900301,고남산,20201201, , , 
충청북도 청주시 서원구 현도면 시동리,청주시 서원구청,043-201-6114,고남산은 현도면 시동리 사낭골 마을 뒷산으로 산 능선을 따라 마을 등산로로 이용되는 산이다. 산은 그리 높지 않으며 임상은 침엽수와 활엽수가 섞인 혼효림으로 등산은 시동리 사낭골마을 뒷동산에서부터 시작하여 고남산 정상까지 이어지는 산이다.,0.0,431100201,고남산,20201201, , , 
제주도 제주시 애월읍 고내리,제주시청,064-728-2114,( - ),172.9,491100101,고내봉,20201201, , , 
전라북도 정읍시 칠보면 수청리,정읍시청,063-539-7114,( - ),642.4,451800201,고당산,20201201, , , 
전라남도 화순군 도암면 운월리,화순군청,061-374-0001,( - ),0.0,467900301,고당산,20201201, , , 
경상북도 김천시 감천면 무안리,김천시청,054-420-6114,( - ),603.5,471500201,고당산,20201201, , , 
경기도 연천군 신서면 대광리,연천군청,031-834-2211,"경원선 철도가 휴전선에 막혀 이제는 달리지 못하고 멈추는 곳에 고대산이 솟아 있다. 고대산은 등산객들이 자유롭게 산행을 할 수 있는 산 중에서 휴전선에 가장 가깝게 있는 산이다. 경기도 최북단인 연천군 신서면 신탄리와 강원도 철원군 사이에 있는 고대산 정상에서는 북녘의 철원평야와 6·25 때 격전지인 백마고지, 금학산과 지장봉, 북대산, 향로봉은 물론 한탄강 기슭의 종자산까지 한눈에 들어온다. 분단의 한, 망향의 한이 굽이쳐 북녘이 그리울 때, 멀리서나마 북녘땅을 바라볼 수 있는 3대 명산으로 고대산, 복계산, 지장봉을 꼽는데 해마다 6월이면 분단 상황을 체험해 보려는 많은 등산인이 고대산을 찾는다. 수려한 전망과 적당한 코스 등 최적의 산행코스를 갖췄음에도 전략적 요충지라는 이유로 웬만한 지도에는 감춰진 산이다. 휴전선과 가장 가까운 곳에 있어서 여태껏 사람들에게 잘 알려지지 않았다는 것이 이 산이 간직한 매력이기도 하다.",0.0,418000401,고대산,20201201, , , 
전라북도 전주시 완산구 대성동 ,전주시청,063-222-1000,"고덕산은 전주시 남동쪽에 있는 산으로 등산인들에게 잘 알려진 명산은 아니지만, 전주 시민들에게는 더할 나위 없이 좋은 휴식공간을 제공한다. 산자락에 남고산성, 남고사, 만경대, 관성묘 등의 많은 유적을 품고 있는 산이기도 하다. 
산행 들머리는 관성묘 입구 마을로 한다. 삼경사 갈림길 능선을 따라 오르는 등산 코스는 오가는 이들이 적어 호젓하게 산행을 즐길 수 있다. 능선을 따라 오르면 산성 터가 나타난다. 남고산성은 고덕산과 천경대, 만경대, 억경대 등 봉우리를 이어 쌓은 산성이다. 남동쪽으로는 남원, 고창으로 통하는 교통상의 중요한 곳을 지키고, 북쪽으로는 전주를 내려다보는 자리에 있다. 
후백제를 세운 견훤이 이곳에 고덕산성을 쌓았다는 이야기가 전해오며, 조선 순조 13년(1813)에 성을 고쳐 쌓고 남고산성이라 했다. 이 성은 유래가 매우 오래된 것으로 알려졌는데, 「세종실록지리지」와 「동국여지승람」에도 기록이 보인다. 순조 13년에 보수공사를 할 때 성안에는 4개의 연못과 25개의 우물이 있었으며, 민가 100여 채가 있었다고 한다. 서쪽에는 비밀 문이 하나 있었으며 동서남북에 각각 하나씩 포루가 설치되어 있고, 관청, 창고, 화약고, 무기고를 비롯한 각종 건물이 많았다. 
정상은 널따란 헬기장으로, 북서쪽으로는 전주시가지가 내려다보이며 운장산, 만덕산, 모악산 등이 고덕산을 감싸듯 둘러 서 있다.",602.7,451100501,고덕산,20201201, , , 
전라북도 임실군 관촌면 운수리,임실군청,063-640-2114,"높은 산은 아니지만, 정상이 가까워질수록 사면이 깎아지른 암벽으로 이루어져 있으며, 조망은 사방이 확 트여 아주 좋다. 동쪽으로 성수산과 팔공산이 중후하고, 북동쪽으로 선각산, 덕태산 같은 금남호남정맥상에 솟은 고봉들이 하얀 고깔을 쓰고 우람하게 버티고 있다. 그리고 진안군 백운면에서 임실군 관촌면으로 이어지는 742번 지방도로 너머로 내동산이 이웃하고 있다. 남쪽과 서쪽으로는 순창의 회문산, 임실의 오봉산, 경각산이 보인다. 임실읍내와 멀리 오수면 소재지도 바라보인다.",621.9,457500201,고덕산,20201201, , , 
경상북도 의성군 안사면 안사리,의성군청,054-830-6114,( - ),494.3,477300201,고도산,20201201, , , 
경기도 가평군 청평면 삼회리,가평군청,031-580-2114,"가평의 청평호 건너편에 화야산, 뽀루봉과 함께 한 능선으로 연결된 산이다.
 잔솔과 참나무가 많고 낙엽이 수북한 능선길은 사람의 마음을 편하게 해주며 울창한 수림과 깊은 계곡은 마치 높은 산을 오르는 듯한 감동을 준다. 정상은 나무로 뒤덮여있고 청평호를 내려다보는 전망도 좋아 가벼운 산행으로는 최적인 산이다. 이 산과 함께 뽀루봉, 화야산을 종주해 보는 맛도 좋다.",0.0,418200601,고동산,20201201, , , 
경상남도 통영시 한산면 염호리,통영시청,1577-0557,( - ),188.9,482200101,고동산,20201201, , , 
경상남도 남해군 남면 평산리,남해군청,055-860-3114,( - ),359.6,488400201,고동산,20201201, , , 
전라남도 순천시 낙안면 목촌리,순천시청,061-749-3114,( - ),709.5,461504301,고동산,20201201, , , 
전라남도 순천시 낙안면 목촌리,순천시청,061-749-3114,고동산은 낙안면과 송광면에 걸쳐있는 고동산은 잘 알려진 산은 아니다.  높이는 709m로 되어 있지만 이미 이 지역이 상당히 높은 고도이기 때문에 도보로는 조금만 오르면 정상에 도착한다. ,709.5,461503901,고동산,20201201, , , 
전라남도 진도군 군내면 덕병리,진도군청,061-544-2181,( - ),254.0,469000201,고두산,20201201, , , 
경기도 평택시 현덕면 신왕리,평택시청,031-8024-5000,( - ),132.4,412200201,고등산,20201201, , , 
전라남도 여수시 둔덕동 ,여수시청,1899-2012,고락산은 여수의 중앙부에 있는 산으로 등산로가 잘 정비되어 있고 초보자도 등산하기가 쉬운 산이다. 등산로는 여러 곳에 있으나 문수동 좌수영초교 정문 앞에서 시작하면 대체로 쉽게 올라갈 수 있고 등산로 중간에 운동기구와 음수대가 있고 정상에 올라가서 보는 여수 시가지가 참 아름답다. 시간 여유가 있으면 정상에서 동편 문수 주택단지 쪽으로 하산하는 코스를 잡으면 백제 산성인 고락 산성을 돌아볼 수 있다.,337.4,461300201,고락산,20201201, , , 
경기도 남양주시 조안면 시우리,남양주시청,031-590-2114,( - ),0.0,413600301,고래산,20201201, , , 
경상북도 영덕군 축산면 상원리,영덕군청,054-730-6114,( - ),291.3,477700101,고래산,20201201, , , 
경기도 양평군 지평면 일신리,양평군청,031-773-5101,"계방서정맥(桂芳西正脈)이라 불리는 산줄기 도미(掉尾)를 장식하며, 경기의 곡창지대인 여주 들녘에 우뚝 서 한 바다에 고래 등처럼 떠 있는 이산은 '고달산(高達山)'으로 불리기도 하며, 예로부터 고려장을 하던 '고려산'으로 불리었다. 서남쪽으로 위치한 우두산(牛頭山) 남쪽에 사적 제382호로 지정된 '고달사지(高達寺址)'라는 사적지를 가지고 있으며, 금동마을 뒤쪽으로는 고려장 굴이 있어 옛 고려장 관습에 흔적을 가지고 있는 산이다. 산세는 육산으로 가파른 경사를 이루고 있으며, 지제면 대평리 쪽은 골프장 개발공사로 자연이 훼손되고 등산로가 없어졌으므로 여주 북내면 쪽으로만 산행할 수 있다. 고달사지는 국보 제4호로 지정된 고달사 부도를 위시해, 보물 3점, 향토유적지 등이 있어, 산행과 문화재 탐방을 함께 할 수 있는 산이다.",528.5,418300501,고래산,20201201, , , 
인천광역시 강화군 하점면 삼거리,강화군청,032-930-3114,"낙조를 찾아 떠날 산행지는 요즘 들어 일몰 관광지로 인기를 끌고 있는 강화도 고려산(高麗山)이다. 고려산은 읍내에서 5km쯤 떨어져 있으며 원래 이름은 오련산이었으나 고려가 몽골의 침략을 받아 도읍을 강화로 천도하면서 송도의 고려산 이름을 따 고려산으로 고쳐 부르게 되었다고 한다. 또한, 고려산은 연개소문이 태어난 곳이라는 전설이 있으며 주능선에 오르면 탁 트인 서해의 시원스런 조망은 물론, 황해도의 연백군 해안과 예성강 하구를 조망할 수 있어 민족분단의 현실을 직접 눈으로 확인할 수 있는 곳이기도 하다. 현재 고려산에는 백련사, 청련사, 적석사, 원통암 등 세 개의 사찰과 한 개의 암자가 있다. 그중 청련사의 분위기가 제일 뛰어나나 남향에 자리한 사찰 전등사 역시 이에 뒤지지 않을 만큼 그윽하고 멋스러운 풍경을 자랑한다. 적석사 서쪽 절 정상 낙조봉에서 바라보는 서해 일몰은 강화 8경 중 하나로 꼽힌다. 게다가 인천시 기념물 제26호로 지정된 고창, 화순의 고인돌군도 만나 볼 수 있어 아이들과 함께하는 가족산행지로 더없이 좋은 곳이다.",436.3,287100101,고려산,20201201, , , 
세종특별자치시  소정면 고등리,연기군청,044-300-3114,"연기군의 최북단에 위치하며 동쪽 고등리의 아야목과 서쪽 대곡리에서 오를 수 있으며, 주로 아야목으로 산행을 한다. 능선 곳곳에 축성 터가 산재해 있다.",307.2,447300101,고려산,20201201, , , 
충청남도 천안시 동남구 목천읍 소사리,천안시청,1577-3900,( - ),0.0,441303801,고려산,20201201, , , 
강원특별자치도 강릉시 왕산면 완산리,강릉시청,033-660-2018,"고루포기산은 강원도 강릉시 왕산면과 평창군 도암면의 경계를 이루는 산으로, 주변의 발왕산, 제왕산, 능경봉의 명성에 가려 찾는 이들이 많지 않았던 산이다. 태백산맥의 지맥인 해안 산맥에 딸린 산으로, 북서쪽의 빗면은 한때 대관령 스키장이 있었던 곳이다. 부근의 횡계리(橫溪里) 일대는 평탄면을 이룬다. 서쪽에는 남한강의 지류인 송천(松川)이 감입곡류를 이루면서 남쪽으로 흘러 하안단구를 이룬다. 북동쪽 빗면으로 흐르는 수계는 왕산면 왕산리(旺山里)에서 강릉 남대천(南大川)의 지류로 흘러든다.",1238.3,421500201,고루포기산,20201201, , , 
전라북도 남원시 금지면 방촌리,남원시청,063-625-6131,"고리봉은 전북 남원시 주생면ㆍ금지면ㆍ대강면에 자리 잡고 있는 호남정맥의 줄기다. 지리산을 지척에 두고 맥을 달리하는 바위산으로 곡성에서 남원 방향으로 향하다 보면 금지들이라 불리는 평원에서 옹골차게 솟은 산이다.

골산(骨山)의 전형을 보여주는 고리봉의 이름은 소금 배를 묶어두었던 ‘고리(還)’에서 유래한다. 지금 남원 시내를 관통하며 흘러내리는 요천은 남원 관광단지 앞 물줄기만 둑을 쌓아 뱃놀이할 수 있지만, 100여 년 전까지만 해도 하동에서 출발한 소금 배가 섬진강에 이어 요천 물줄기를 거슬러 남원성 동쪽 오수정(참나무정)까지 올라와 닻을 내렸다고 한다.

당시 소금 배가 중간 정박지로 금지평원에 머물기 위해 배 끈을 묶어두었던 쇠고리를 바로 고리봉 동쪽 절벽에 박아 놓았다는 것이다. 이렇게 소금 배와 얽힌 전설이 전하는 고리봉은 조망도 좋지만, 산세가 뛰어난 산이다. 동서 양쪽 사면은 거대한 바위 병풍을 연상케 할 만큼 웅장한 산세를 과시하고, 능선은 소나무가 울창한 가운데 부드러운 육산과 아기자기한 바위가 번갈아 이어져 산행의 즐거움까지 더해진다.",710.1,451900401,고리봉,20201201, , , 
경상남도 의령군 유곡면 세간리,의령군청,055-570-2114,( - ),242.1,487200501,고망산,20201201, , , 
경상북도 문경시 산양면 형천리,문경시청,054-552-3210,( - ),165.3,472800101,고모산,20201201, , , 
경상북도 청송군 현서면 백자리,청송군청,1577-7997,( - ),0.0,477500101,고모산,20201201, , , 
전라남도 고흥군 도덕면 가야리,고흥군청,061-830-5114,경사가 완만하고 산의 높이가 높지않아서 가족들이 산행이 가능하다. 주로 천연림으로 구성되어 있으며 편백 등 다양한 수종의 나무가 분포한다. 득량만을 접하고 있어 득량만은 물론 득량도와 멀리 보성 까지 조망 가능하다.,0.0,467703001,고백이산,20201201, , , 
충청북도 보은군 마로면 관기리,보은군청,043-540-3000,( - ),458.5,437200201,고봉,20201201, , , 
전라북도 군산시 성산면 고봉리,군산시청,063-454-4000,( - ),0.0,451304601,고봉리산,20201201, , , 
대전광역시 동구 비래동 ,동구청,042-251-4114,대전광역시 동구 주산동에 위치하고 고봉산의 정상에는 고봉산성이 자리하고 있다. 높이는 304m이며 산의 형태에 따라 타원형으로 되어있는 테뫼식 석축성이다. 숲길은 비교적 완만하나 중간 부분은 지세가 가파르고 미끄러워 주의가 요망된다. 정상에서의 경관으로는 주변 산과 주산동 일대와 대청호가 보인다.,334.7,301100301,고봉산,20201201, , , 
전라남도 여수시 화양면 장수리,여수시청,1899-2012,( - ),362.0,461300301,고봉산,20201201, , , 
전라남도 장성군 북이면 모현리,장성군청,061-393-1989,"마을 앞으로 모현천을 사이에 두고 모현마을과 마주 보고 있으며, 동쪽으로 화동마을과 인접해 있다. 고봉산 너머에는 북일면 오산리 용연마을이 있다.",137.0,468800301,고봉산,20201201, , , 
전라북도 군산시 성산면 고봉리,군산시청,063-454-4000,"대야면 소재지로부터 만경강, 오성산에 이르러 남북으로 길게 연계된 만경 들판을 근간으로 하는 제일 높은 산이다. 동으로는 산곡평야가 있고 서쪽으로는 장군봉을 바라보고 그 밑에는 개정뜰로 이어지는 만경평야의 곡창 지대로써, 일제강점기 쌀의 수탈 지역이었으며 도곡농장(現 발산초교)이 있었던 곳이다.",149.0,451300401,고봉산,20201201, , , 
경기도 일산동구 중산동 ,일산동구청,031-909-9000,( - ),206.3,412800101,고봉산,20201201, , , 
경상북도 영덕군 강구면 하저리,영덕군청,054-730-6114,( - ),0.0,477704001,고불봉,20201201, , , 
전라남도 화순군 이양면 초방리,화순군청,061-374-0001,( - ),422.0,468000201,고비산,20201201, , , 
전라남도 담양군 금성면 외추리,담양군청,061-380-3114,( - ),463.2,467100201,고비산,20201201, , , 
